@_fa,prism:url,dc:identifier,dc:title,prism:publicationName,prism:coverDate,prism:doi,dc:description,authkeywords,subject-area,author,year
true,https://api.elsevier.com/content/abstract/scopus_id/105007138239,SCOPUS_ID:105007138239,Universum driven adaptive robust Adaboost twin extreme learning machine imbalance learning framework for pattern classification,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110104,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007598283,SCOPUS_ID:105007598283,Exploring synergies: Advancing neuroscience with machine learning,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110116,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008338768,SCOPUS_ID:105008338768,Capacity estimation of Lithium-ion batteries through a Machine Learning approach,Mathematics and Computers in Simulation,2026-01-01,10.1016/j.matcom.2025.05.022,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009461809,SCOPUS_ID:105009461809,Solving combinatorial optimization and machine learning problems on hybrid near-term quantum photonic computers,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107934,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008318582,SCOPUS_ID:105008318582,Data distribution aware clustering for parallel split learning in healthcare applications,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107911,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008908203,SCOPUS_ID:105008908203,MPGP-QOC: Multi-programming and graph-partition-based QOC for QNN inference,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107966,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009148237,SCOPUS_ID:105009148237,Federated learning framework for collaborative remaining useful life prognostics: An aircraft engine case study,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107945,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009516243,SCOPUS_ID:105009516243,SeFNet: Linking tabular datasets with semantic feature nets,Information Fusion,2026-01-01,10.1016/j.inffus.2025.103436,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007222467,SCOPUS_ID:105007222467,Boosting endomicroscopy image recognition with contrastive learning and bag-of-words,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111823,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009515950,SCOPUS_ID:105009515950,Integrating biological and machine intelligence: Attention mechanisms in brain–computer interfaces,Information Fusion,2026-01-01,10.1016/j.inffus.2025.103417,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105005177447,SCOPUS_ID:105005177447,An end-to-end integration of speech separation and recognition with self-supervised learning representation,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101813,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009344194,SCOPUS_ID:105009344194,Parameter-efficient Quantum Denoising Diffusion Probabilistic Models with temporal encoding,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107981,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007737495,SCOPUS_ID:105007737495,Learning transferable representations by topic guided graph adversarial network,Signal Processing,2026-01-01,10.1016/j.sigpro.2025.110118,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008547207,SCOPUS_ID:105008547207,RFMSU: A multivariate symmetrical uncertainty-based random forest,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111939,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009515117,SCOPUS_ID:105009515117,Online detection of process activity executions from IoT sensors using generated event processing services,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107987,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008790707,SCOPUS_ID:105008790707,Graph Perceiver IO: A general architecture for graph-structured data,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111889,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105005405680,SCOPUS_ID:105005405680,A novel graph kernel algorithm for improving the effect of text classification,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101818,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007060271,SCOPUS_ID:105007060271,Instance-wise distributionally robust nonnegative matrix factorization,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111732,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007825325,SCOPUS_ID:105007825325,HFA2RE: Enhancing adversarial robustness via Hyperspherical Feature Aggregation,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111857,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008510549,SCOPUS_ID:105008510549,Multimodal latent emotion recognition from micro-expression and physiological signal,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111963,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007063401,SCOPUS_ID:105007063401,SAEN-BGS: Energy-efficient spiking autoencoder network for background subtraction,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111792,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008278252,SCOPUS_ID:105008278252,Towards explainable spoofed speech attribution and detection: A probabilistic approach for characterizing speech synthesizer components,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101840,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007853602,SCOPUS_ID:105007853602,Generative attack in complex real-world scenarios,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111893,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105005197183,SCOPUS_ID:105005197183,Exploring features for membership inference in ASR model auditing,Computer Speech and Language,2026-01-01,10.1016/j.csl.2025.101812,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008904609,SCOPUS_ID:105008904609,AI-driven orchestration at scale: Estimating service metrics on national-wide testbeds,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107971,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008509926,SCOPUS_ID:105008509926,Stock investment selection via time series subpatterns and multi-relationship fusion,Pattern Recognition,2026-01-01,10.1016/j.patcog.2025.111919,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105006667184,SCOPUS_ID:105006667184,Proficiency of Physics Informed Machine Learning in Multi-component Fault Recognition of Rotational Machines under Different Speed Conditions,International Journal of Prognostics and Health Management,2025-12-30,10.36001/ijphm.2025.v16i1.4215,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007466022,SCOPUS_ID:105007466022,Comparison of machine learning algorithms for predicting admission in intensive care units based on the precision nursing framework,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-296,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007454927,SCOPUS_ID:105007454927,Deploy your own machine learning model with no coding expertise: resident perspective,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-448,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007473502,SCOPUS_ID:105007473502,A comparative study of machine learning algorithms for breast cancer diagnosis,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-368,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007448798,SCOPUS_ID:105007448798,A data-driven analysis of maternal health risk indicators using machine learning techniques,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-332,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007477344,SCOPUS_ID:105007477344,Machine learning approaches for DAS28 score prediction after rituximab treatment in rheumatoid arthritis patients,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-288,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007474838,SCOPUS_ID:105007474838,Prediction of stroke in symptomatic carotid stenosis using machine learning and its implications on clinical trial enrichment,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-197,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007463225,SCOPUS_ID:105007463225,Recent trends in prediction of chronic kidney disease using different learning approaches: a systematic literature review,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-256,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007452072,SCOPUS_ID:105007452072,Pediatric pneumonia X-ray image classification: predictive model development with DenseNet-169 transfer learning,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-356,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007475944,SCOPUS_ID:105007475944,Artificial intelligence in the diagnosis and prevention of multi-stage colorectal cancer: potential algorithmic bias and systematic mitigation,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-169,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007453118,SCOPUS_ID:105007453118,Artificial intelligence in medical image analysis and molecular diagnostics: recent advances and applications,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-412,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007446380,SCOPUS_ID:105007446380,Development and validation of SXI++ large numerical model (LNM) algorithm for sepsis prediction,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-393,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007462046,SCOPUS_ID:105007462046,Use of artificial intelligence for detection and managing atrial fibrillation—narrative review of the current literature,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-278,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007471858,SCOPUS_ID:105007471858,Overcoming adoption challenges: bridging the gap between artificial intelligence algorithm development and implementation in healthcare,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-385,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007453612,SCOPUS_ID:105007453612,Potential for the development of customized color cosmetics using artificial intelligence digital slide scanner exclusively for dermatology: a scoping review,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-372,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007452094,SCOPUS_ID:105007452094,A predictive tool to forecast the Model for End-Stage Liver Disease score: the “MELDPredict” tool,Journal of Medical Artificial Intelligence,2025-12-30,10.21037/jmai-24-277,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105006987619,SCOPUS_ID:105006987619,Review of Josh Simons’ Book “Algorithms for the People – Democracy in the Age of AI”,Triplec,2025-12-29,10.31269/triplec.v23i1.1617,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009332840,SCOPUS_ID:105009332840,A robust machine learning framework for stock market classification,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128573,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009308248,SCOPUS_ID:105009308248,MSclassifR: An R package for supervised classification of mass spectra with machine learning methods,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128796,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009339187,SCOPUS_ID:105009339187,Advances in continual learning: A comprehensive review,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128739,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009270751,SCOPUS_ID:105009270751,Protected template classification for iris biometrics,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128773,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009348039,SCOPUS_ID:105009348039,Enhancing decision support for type 2 diabetes mellitus comorbidity risk prediction: An end-to-end multi-task learning model,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128816,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009254425,SCOPUS_ID:105009254425,Graph classification by converting static graphs into dynamic evolutionary sequences,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128690,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009459350,SCOPUS_ID:105009459350,Safe navigation for robotic digestive endoscopy via human intervention-based reinforcement learning,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128841,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009284303,SCOPUS_ID:105009284303,Light-ShmooNet – A lightweight convolutional neural network for automated classification of shmoo plot with high accuracy,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128707,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009339141,SCOPUS_ID:105009339141,LLM-augmented hierarchical reinforcement learning for human-like decision-making of autonomous driving,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128736,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009497485,SCOPUS_ID:105009497485,A novel time-dependent electric vehicle pickup and delivery problem with time windows in cold supply chains,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128813,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009227743,SCOPUS_ID:105009227743,"Detecting worker collusion in crowdsourcing: Methods, datasets, and challenges",Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128767,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009334762,SCOPUS_ID:105009334762,PRNN: Pareto-Guided recursive neural network embedded approach for biomarker discovery in breast cancer multi-omics dataset,Expert Systems with Applications,2025-12-15,10.1016/j.eswa.2025.128777,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85215412348,SCOPUS_ID:85215412348,FANNG-MPC: Framework for Artificial Neural Networks and Generic MPC,Iacr Transactions on Cryptographic Hardware and Embedded Systems,2025-12-09,10.46586/TCHES.V2025.I1.1-36,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85215374332,SCOPUS_ID:85215374332,TPUXtract: An Exhaustive Hyperparameter Extraction Framework,Iacr Transactions on Cryptographic Hardware and Embedded Systems,2025-12-09,10.46586/TCHES.V2025.I1.78-103,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105001490185,SCOPUS_ID:105001490185,Improved machine learning-aided linear cryptanalysis: application to DES,Cybersecurity,2025-12-01,10.1186/s42400-024-00327-4,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218154837,SCOPUS_ID:85218154837,Enhanced thyroid disease prediction using ensemble machine learning: a high-accuracy approach with feature selection and class balancing,Discover Artificial Intelligence,2025-12-01,10.1007/s44163-025-00225-9,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/86000777006,SCOPUS_ID:86000777006,Machine learning in biomedical and health big data: a comprehensive survey with empirical and experimental insights,Journal of Big Data,2025-12-01,10.1186/s40537-025-01108-7,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105005405579,SCOPUS_ID:105005405579,A review of machine learning techniques for urban resilience research: The application and progress of different machine learning techniques in assessing and enhancing urban resilience,Systems and Soft Computing,2025-12-01,10.1016/j.sasc.2025.200269,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007244639,SCOPUS_ID:105007244639,MLOmics: Cancer Multi-Omics Database for Machine Learning,Scientific Data,2025-12-01,10.1038/s41597-025-05235-x,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85217737527,SCOPUS_ID:85217737527,Accelerating machine learning queries with linear algebra query processing,Distributed and Parallel Databases,2025-12-01,10.1007/s10619-024-07451-7,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105000449033,SCOPUS_ID:105000449033,Reply to: Comment on “Machine learning enhanced analysis of EBSD data for texture representation”,Npj Computational Materials,2025-12-01,10.1038/s41524-025-01562-0,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85219563971,SCOPUS_ID:85219563971,kMoL: an open-source machine and federated learning library for drug discovery,Journal of Cheminformatics,2025-12-01,10.1186/s13321-025-00967-9,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218839073,SCOPUS_ID:85218839073,Factors contributing to chronic ankle instability in parcel delivery workers based on machine learning techniques,BMC Medical Informatics and Decision Making,2025-12-01,10.1186/s12911-025-02919-7,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105009002258,SCOPUS_ID:105009002258,Novel engine fault diagnosis framework based on machine learning and MiniRocket feature extraction using mmulti-correlation feature selection and predictive power score,Expert Systems with Applications,2025-12-01,10.1016/j.eswa.2025.128662,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218032967,SCOPUS_ID:85218032967,Design and optimization of distributed energy management system based on edge computing and machine learning,Energy Informatics,2025-12-01,10.1186/s42162-025-00471-2,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105000030989,SCOPUS_ID:105000030989,Can some algorithms of machine learning identify osteoporosis patients after training and testing some clinical information about patients?,BMC Medical Informatics and Decision Making,2025-12-01,10.1186/s12911-025-02943-7,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105005500301,SCOPUS_ID:105005500301,Characterizing privacy in quantum machine learning,Npj Quantum Information,2025-12-01,10.1038/s41534-025-01022-z,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105003579566,SCOPUS_ID:105003579566,Intrusion detection in IoT networks using machine learning and deep learning approaches for MitM attack mitigation,Discover Internet of Things,2025-12-01,10.1007/s43926-025-00104-w,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85214921214,SCOPUS_ID:85214921214,Prediction of urinary tract infection using machine learning methods: a study for finding the most-informative variables,BMC Medical Informatics and Decision Making,2025-12-01,10.1186/s12911-024-02819-2,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105007803970,SCOPUS_ID:105007803970,Research on optimization of library book recommendation system based on the collaborative fusion of transformer architecture and adaptive extreme learning machine,Systems and Soft Computing,2025-12-01,10.1016/j.sasc.2025.200287,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105000265415,SCOPUS_ID:105000265415,A Deep Learning Model Leveraging Time-Series System Call Data to Detect Malware Attacks in Virtual Machines,International Journal of Computational Intelligence Systems,2025-12-01,10.1007/s44196-025-00781-z,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105000509976,SCOPUS_ID:105000509976,Knowing our choices: unveiling true voting patterns through machine learning (ML) and natural language processing (NLP) in European Parliament,Social Network Analysis and Mining,2025-12-01,10.1007/s13278-025-01452-9,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105006670678,SCOPUS_ID:105006670678,Interpretability and accuracy of machine learning algorithms for biomedical time series analysis – a scoping review,Biomedical Signal Processing and Control,2025-12-01,10.1016/j.bspc.2025.108153,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105006451377,SCOPUS_ID:105006451377,Application of supervised machine learning models in human emotion classification using Tsallis entropy as a feature,Journal of Big Data,2025-12-01,10.1186/s40537-025-01177-8,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105003290826,SCOPUS_ID:105003290826,Machine learning enabled accurate prediction of structural and magnetic properties of cobalt ferrite,Npj Computational Materials,2025-12-01,10.1038/s41524-025-01598-2,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105004677687,SCOPUS_ID:105004677687,Machine learning-assisted image analysis techniques for glaucoma detection,Eurasip Journal on Image and Video Processing,2025-12-01,10.1186/s13640-025-00668-1,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105001436930,SCOPUS_ID:105001436930,Harness machine learning for multiple prognoses prediction in sepsis patients: evidence from the MIMIC-IV database,BMC Medical Informatics and Decision Making,2025-12-01,10.1186/s12911-025-02976-y,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105008808581,SCOPUS_ID:105008808581,Machine learning for classifying affective valence from fMRI: a systematic review and meta-analysis,Discover Artificial Intelligence,2025-12-01,10.1007/s44163-025-00377-8,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218811485,SCOPUS_ID:85218811485,Machine learning via DARTS-Optimized MobileViT models for pancreatic Cancer diagnosis with graph-based deep learning,BMC Medical Informatics and Decision Making,2025-12-01,10.1186/s12911-025-02923-x,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/86000126577,SCOPUS_ID:86000126577,Machine learning model for predicting long-term energy consumption in buildings,Discover Internet of Things,2025-12-01,10.1007/s43926-025-00115-7,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105008440863,SCOPUS_ID:105008440863,On the application of machine learning algorithms in predicting the permeability of oil reservoirs,Artificial Intelligence in Geosciences,2025-12-01,10.1016/j.aiig.2025.100126,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105005597826,SCOPUS_ID:105005597826,Forecasting Surgical Bed Utilization: Architectural Design of a Machine Learning Pipeline Incorporating Predicted Length of Stay and Surgical Volume,Journal of Medical Systems,2025-12-01,10.1007/s10916-025-02201-3,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105006705056,SCOPUS_ID:105006705056,MLQM: Machine learning approach for accelerating optimal qubit mapping,Future Generation Computer Systems,2025-12-01,10.1016/j.future.2025.107906,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218077675,SCOPUS_ID:85218077675,SPACIER: on-demand polymer design with fully automated all-atom classical molecular dynamics integrated into machine learning pipelines,Npj Computational Materials,2025-12-01,10.1038/s41524-024-01492-3,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105008325193,SCOPUS_ID:105008325193,Detection of insect-damaged sunflower seeds using near-infrared hyperspectral imaging and machine learning,Smart Agricultural Technology,2025-12-01,10.1016/j.atech.2025.101110,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/105006491679,SCOPUS_ID:105006491679,The role of explainable AI in enhancing breast cancer diagnosis using machine learning and deep learning models,Discover Artificial Intelligence,2025-12-01,10.1007/s44163-025-00307-8,,,[],[],2025
true,https://api.elsevier.com/content/abstract/scopus_id/85218154360,SCOPUS_ID:85218154360,A scoping review of robustness concepts for machine learning in healthcare,Npj Digital Medicine,2025-12-01,10.1038/s41746-024-01420-1,,,[],[],2025
